
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
00:1A:EF:1D:C7:78, 2016-10-30 20:25:07, 2016-10-30 20:25:09, 11,  54, OPN ,       ,   , -90,        5,        0,   0.  0.  0.  0,  14, 802.11n_Router, 
B0:C2:87:29:2D:CA, 2016-10-30 20:25:05, 2016-10-30 20:25:16,  1,  54, WPA2WPA , CCMP TKIP,PSK, -90,        3,        0,   0.  0.  0.  0,   6, ANDRES, 
00:1D:0F:A5:75:16, 2016-10-30 20:25:08, 2016-10-30 20:25:36,  4,  54, OPN ,       ,   , -93,        2,        0,   0.  0.  0.  0,  13, STVNET_Granja, 
20:CF:30:38:A8:C4, 2016-10-30 20:25:05, 2016-10-30 20:25:47, 11,  54, WPA2WPA , CCMP TKIP,PSK, -89,       44,       87,   0.  0.  0.  0,  12, FAMILIA CRUZ, 
98:97:D1:57:FA:90, 2016-10-30 20:25:20, 2016-10-30 20:25:37,  6,  54, WPA2, CCMP TKIP,PSK, -87,        4,        1,   0.  0.  0.  0,  17, Movistar_87437255, 
90:0D:CB:43:70:20, 2016-10-30 20:25:05, 2016-10-30 20:25:48, 11,  54, WPA2, CCMP,PSK, -85,       50,      167,   0.  0.  0.  0,   5, CLARO, 
E6:35:F3:E1:15:E2, 2016-10-30 20:25:05, 2016-10-30 20:25:47, 11,  54, WPA , CCMP TKIP,PSK, -79,       65,       16,   0.  0.  0.  0,  17, Movistar_87432598, 
80:C6:AB:5F:91:B4, 2016-10-30 20:25:04, 2016-10-30 20:25:49, 11,  54, WPA2, CCMP TKIP,PSK, -59,       93,      144,   0.  0.  0.  0,  17, FAMILIA VELANDIA , 
EC:08:6B:5F:58:36, 2016-10-30 20:25:14, 2016-10-30 20:25:48, 10,  -1, WPA ,       ,   ,  -1,        0,        3,   0.  0.  0.  0,   0, , 
EC:55:F9:96:A1:F1, 2016-10-30 20:25:44, 2016-10-30 20:25:45,  1,  54, WEP , WEP,   , -89,        2,        0,   0.  0.  0.  0,   8, 68679570, 
98:97:D1:6B:20:38, 2016-10-30 20:25:45, 2016-10-30 20:25:45,  1,  54, WPA2, CCMP TKIP,PSK, -94,        2,        0,   0.  0.  0.  0,  17, Movistar_87435288, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
9C:2A:83:F2:E8:30, 2016-10-30 20:25:26, 2016-10-30 20:25:26, -91,        1, EC:08:6B:5F:58:36,
28:27:BF:AC:12:BA, 2016-10-30 20:25:38, 2016-10-30 20:25:38, -90,        2, E6:35:F3:E1:15:E2,
20:68:9D:42:48:CD, 2016-10-30 20:25:14, 2016-10-30 20:25:48, -86,        5, EC:08:6B:5F:58:36,
CC:D2:9B:78:58:0D, 2016-10-30 20:25:07, 2016-10-30 20:25:47, -91,       84, 20:CF:30:38:A8:C4,
A4:DB:30:E7:43:D8, 2016-10-30 20:25:12, 2016-10-30 20:25:45, -85,        5, 20:CF:30:38:A8:C4,
50:85:69:3E:B3:1B, 2016-10-30 20:25:09, 2016-10-30 20:25:43, -84,        8, E6:35:F3:E1:15:E2,
84:2E:27:33:DE:9A, 2016-10-30 20:25:31, 2016-10-30 20:25:31, -84,        1, EC:08:6B:5F:58:36,
AC:0D:1B:A4:2B:7B, 2016-10-30 20:25:20, 2016-10-30 20:25:43, -81,        4, 20:CF:30:38:A8:C4,
84:DB:AC:64:E5:E9, 2016-10-30 20:25:07, 2016-10-30 20:25:11, -79,        3, E6:35:F3:E1:15:E2,
A0:CB:FD:FC:D2:18, 2016-10-30 20:25:43, 2016-10-30 20:25:48, -59,       10, 80:C6:AB:5F:91:B4,
EC:CB:30:FE:03:E3, 2016-10-30 20:25:10, 2016-10-30 20:25:10, -62,        3, 80:C6:AB:5F:91:B4,
D0:53:49:40:F3:41, 2016-10-30 20:25:09, 2016-10-30 20:25:49, -30,      159, 80:C6:AB:5F:91:B4, FAMILIA VELANDIA 
94:39:E5:D3:08:EB, 2016-10-30 20:25:24, 2016-10-30 20:25:48,  -1,      107, 90:0D:CB:43:70:20,
3C:CB:7C:06:CB:05, 2016-10-30 20:25:25, 2016-10-30 20:25:31,  -1,       18, 90:0D:CB:43:70:20,
D0:FC:CC:70:13:1E, 2016-10-30 20:25:25, 2016-10-30 20:25:28,  -1,       18, 90:0D:CB:43:70:20,
80:65:6D:3A:F9:9B, 2016-10-30 20:25:25, 2016-10-30 20:25:25,  -1,       12, 90:0D:CB:43:70:20,
3C:47:11:BC:0D:B5, 2016-10-30 20:25:25, 2016-10-30 20:25:25,  -1,        7, 90:0D:CB:43:70:20,
34:68:95:11:FC:B3, 2016-10-30 20:25:25, 2016-10-30 20:25:25,  -1,        1, 90:0D:CB:43:70:20,
64:6C:B2:3B:01:3C, 2016-10-30 20:25:33, 2016-10-30 20:25:33,  -1,        1, 98:97:D1:57:FA:90,
B0:45:19:D1:47:06, 2016-10-30 20:25:34, 2016-10-30 20:25:34,  -1,        3, 90:0D:CB:43:70:20,
64:A6:51:59:EA:45, 2016-10-30 20:25:47, 2016-10-30 20:25:47, -88,        2, (not associated) ,
B0:E0:3C:BC:59:B8, 2016-10-30 20:25:48, 2016-10-30 20:25:48, -88,        2, EC:08:6B:5F:58:36,

