Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;Movistar_87437372;98:97:D1:28:1D:70;;1;No;WPA2,AES-CCM;No;54.0;0;3;0;0;0;0;0;;;Tue Oct 18 15:37:12 2016;Tue Oct 18 15:37:12 2016;-76;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;;C2:9F:DB:3F:32:85;;6;No;OPN,None;No;-1.0;0;0;0;1;0;0;1;;;Tue Oct 18 15:37:39 2016;Tue Oct 18 15:37:56 2016;-93;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;192.168.40.1;
3;infrastructure;;10:60:4B:F2:74:D0;;6;No;OPN,None;No;-1.0;0;0;0;61;0;0;61;;;Tue Oct 18 15:37:14 2016;Tue Oct 18 15:37:56 2016;-94;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;172.16.28.237;
4;infrastructure;UPTC_A;44:31:92:24:ED:F0;;1;No;OPN,None;No;54.0;0;1;0;11;0;0;11;;;Tue Oct 18 15:37:18 2016;Tue Oct 18 15:37:53 2016;-90;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;10.200.200.185;
5;infrastructure;ZONAWIFI;C2:9F:DB:3F:32:90;;1;No;OPN,None;No;54.0;0;5;0;25;0;0;25;;;Tue Oct 18 15:37:12 2016;Tue Oct 18 15:37:53 2016;-88;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;192.168.40.1;
6;infrastructure;ENSST;C2:9F:DB:5B:51:F9;;6;No;WPA2,AES-CCM;No;54.0;0;17;0;0;0;0;0;;;Tue Oct 18 15:37:17 2016;Tue Oct 18 15:37:53 2016;-89;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;ENSST;C2:9F:DB:F5:64:8E;;11;No;WPA2,AES-CCM;No;54.0;0;9;0;51;0;0;51;;;Tue Oct 18 15:37:17 2016;Tue Oct 18 15:37:53 2016;-79;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;;DC:9F:DB:3E:35:2B;;11;No;OPN,None;No;-1.0;0;0;0;3;0;0;3;;;Tue Oct 18 15:37:23 2016;Tue Oct 18 15:37:40 2016;-84;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;ZONAWIFI;C6:9F:DB:5B:51:F9;;6;No;OPN,None;No;54.0;0;12;0;27;0;0;27;;;Tue Oct 18 15:37:15 2016;Tue Oct 18 15:37:56 2016;-87;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;192.168.40.1;
10;infrastructure;PUBLICO;CA:9F:DB:5B:51:F9;;6;No;OPN,None;No;54.0;0;12;0;22;0;0;22;;;Tue Oct 18 15:37:15 2016;Tue Oct 18 15:37:53 2016;-83;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
11;infrastructure;PUBLICO;C6:9F:DB:3F:32:90;;1;No;OPN,None;No;54.0;0;5;0;10;0;0;10;;;Tue Oct 18 15:37:12 2016;Tue Oct 18 15:37:53 2016;-83;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;192.168.20.1;
12;infrastructure;MNTG_A;44:31:92:24:ED:F1;;1;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;4;0;38;0;0;38;;;Tue Oct 18 15:37:12 2016;Tue Oct 18 15:37:53 2016;-80;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
13;infrastructure;Movistar_87446188;98:97:D1:2D:E3:D8;;11;No;WPA2,AES-CCM;No;54.0;0;21;0;22;0;0;22;;;Tue Oct 18 15:37:13 2016;Tue Oct 18 15:37:52 2016;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
14;infrastructure;ENSST;C6:9F:DB:F5:64:8E;;11;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;5;0;0;0;0;0;;;Tue Oct 18 15:37:23 2016;Tue Oct 18 15:37:52 2016;-75;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
15;infrastructure;Telematica_Estudiantes;C4:6E:1F:EC:E5:08;;6;No;WPA2,WPA,AES-CCM;No;54.0;0;60;0;128;0;0;128;;;Tue Oct 18 15:37:12 2016;Tue Oct 18 15:37:56 2016;-61;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
16;infrastructure;ERIKARIVERA;26:27:1E:76:60:11;;11;No;WPA2,AES-CCM;No;54.0;0;5;0;0;0;0;0;;;Tue Oct 18 15:37:29 2016;Tue Oct 18 15:37:52 2016;-68;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
17;infrastructure;Dibfrihetj;F4:42:8F:8B:CB:C1;;6;No;WPA2,AES-CCM;No;54.0;0;57;0;1;0;0;1;;;Tue Oct 18 15:37:13 2016;Tue Oct 18 15:37:56 2016;-56;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
